StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	40	50	0	0	240	0
S0	f	40	50	0	0	240	0
S1	f	73	52	0	0	240	0
S2	f	90	55	0	0	240	0
S3	f	55	79	0	0	240	0
S4	f	69	89	0	0	240	0
S5	f	32	80	0	0	240	0
S6	f	39	96	0	0	240	0
S7	f	23	80	0	0	240	0
S8	f	4	83	0	0	240	0
S9	f	18	58	0	0	240	0
C1	c	25	85	20	0	191	10
C2	c	22	75	30	0	199	10
C3	c	22	85	10	0	190	10
C4	c	20	80	40	141	171	10
C5	c	20	85	20	0	189	10
C6	c	18	75	20	0	196	10
C7	c	15	75	20	0	194	10
C8	c	15	80	10	91	121	10
C9	c	10	35	20	91	121	10
C10	c	10	40	30	0	198	10
C11	c	8	40	40	59	89	10
C12	c	8	45	20	0	197	10
C13	c	5	35	10	142	172	10
C14	c	5	45	10	0	194	10
C15	c	2	40	20	58	88	10
C16	c	0	40	20	0	188	10
C17	c	0	45	20	0	189	10
C18	c	44	5	20	0	184	10
C19	c	42	10	40	0	189	10
C20	c	42	15	10	0	194	10
C21	c	40	5	10	0	185	10
C22	c	40	15	40	0	195	10
C23	c	38	5	30	65	95	10
C24	c	38	15	10	0	194	10
C25	c	35	5	20	154	184	10
C26	c	95	30	30	0	171	10
C27	c	95	35	20	0	172	10
C28	c	92	30	10	0	174	10
C29	c	90	35	10	0	177	10
C30	c	88	30	10	0	178	10
C31	c	88	35	20	0	179	10
C32	c	87	30	10	0	178	10
C33	c	85	25	10	0	178	10
C34	c	85	35	30	0	182	10
C35	c	67	85	20	0	185	10
C36	c	65	85	40	0	186	10
C37	c	65	82	10	0	189	10
C38	c	62	80	30	75	105	10
C39	c	60	80	10	0	193	10
C40	c	60	85	30	0	189	10
C41	c	58	75	20	0	199	10
C42	c	55	80	10	0	196	10
C43	c	55	85	20	0	191	10
C44	c	55	82	10	64	94	10
C45	c	20	82	10	0	192	10
C46	c	18	80	10	0	192	10
C47	c	2	45	10	0	191	10
C48	c	42	5	10	0	184	10
C49	c	42	12	10	0	191	10
C50	c	72	35	30	0	194	10
