StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	35	35	0	0	230	0
S0	f	35	35	0	0	230	0
S1	f	61	37	0	0	230	0
S2	f	74	39	0	0	230	0
S3	f	47	57	0	0	230	0
S4	f	57	65	0	0	230	0
C1	c	41	49	10	0	204	10
C2	c	35	17	7	0	202	10
C3	c	55	45	13	0	197	10
C4	c	55	20	19	149	159	10
C5	c	15	30	26	0	199	10
C6	c	25	30	3	0	208	10
C7	c	20	50	5	0	198	10
C8	c	10	43	9	95	105	10
C9	c	55	60	16	97	107	10
C10	c	30	60	16	0	194	10
C11	c	20	65	12	67	77	10
C12	c	50	35	19	0	205	10
C13	c	30	25	23	159	169	10
C14	c	15	10	20	0	187	10
C15	c	30	5	8	61	71	10
C16	c	10	20	19	0	190	10
C17	c	5	30	2	0	189	10
C18	c	20	40	12	0	204	10
C19	c	15	60	17	0	187	10
C20	c	45	65	9	0	188	10
C21	c	45	20	11	0	201	10
C22	c	45	10	18	0	193	10
C23	c	55	5	29	68	78	10
C24	c	65	35	3	0	190	10
C25	c	65	20	6	172	182	10
