StringID	Type	x	y	demand	ReadyTime	DueDate	ServiceTime
D0	d	40	50	0	0	240	0
S0	f	40	50	0	0	240	0
S1	f	73	52	0	0	240	0
S2	f	90	55	0	0	240	0
S3	f	55	79	0	0	240	0
S4	f	69	89	0	0	240	0
C1	c	25	85	20	71	191	10
C2	c	22	75	30	30	150	10
C3	c	22	85	10	64	184	10
C4	c	20	80	40	151	161	10
C5	c	20	85	20	40	160	10
C6	c	18	75	20	96	123	10
C7	c	15	75	20	35	155	10
C8	c	15	80	10	101	111	10
C9	c	10	35	20	101	111	10
C10	c	10	40	30	123	144	10
C11	c	8	40	40	69	79	10
C12	c	8	45	20	32	152	10
C13	c	5	35	10	152	162	10
C14	c	5	45	10	35	117	10
C15	c	2	40	20	68	78	10
C16	c	0	40	20	59	114	10
C17	c	0	45	20	147	180	10
C18	c	44	5	20	79	124	10
C19	c	42	10	40	58	115	10
C20	c	42	15	10	111	162	10
C21	c	40	5	10	45	165	10
C22	c	40	15	40	94	119	10
C23	c	38	5	30	75	85	10
C24	c	38	15	10	128	194	10
C25	c	35	5	20	171	181	10
